  steps=1 bf16      acc None  nll 1.392  gen 0 (56s)
  steps=1 w8t       acc None  nll 1.432  fid 0.9657  gen 0 (66s)
  steps=1 w8c       acc None  nll 1.400  fid 0.9989  gen 0 (66s)
  steps=1 w8a       acc None  nll 1.395  fid 0.9990  gen 0 (65s)
  steps=1 w6c       acc None  nll 1.396  fid 0.9876  gen 0 (65s)
  steps=1 w6a       acc None  nll 1.400  fid 0.9895  gen 0 (67s)
  steps=1 w5c       acc None  nll 1.463  fid 0.9490  gen 0 (65s)
  steps=1 w5a       acc None  nll 1.417  fid 0.9588  gen 0 (67s)
  steps=1 w4t       acc None  nll 11.241  fid 0.0331  gen 0 (65s)
  steps=1 w4c       acc None  nll 1.604  fid 0.8092  gen 0 (65s)
  steps=1 w4a       acc None  nll 1.409  fid 0.8548  gen 0 (58s)
  steps=1 w4g128    acc None  nll 1.422  fid 0.8966  gen 0 (62s)
  steps=1 w4g32     acc None  nll 1.446  fid 0.9243  gen 0 (63s)
  steps=1 w3c       acc None  nll 6.222  fid 0.1761  gen 0 (61s)
  steps=1 w3a       acc None  nll 4.018  fid 0.4273  gen 0 (61s)
  steps=1 w3g32     acc None  nll 1.903  fid 0.6997  gen 0 (62s)
  steps=1 w2a       acc None  nll 12.189  fid 0.0177  gen 0 (62s)
  steps=2 bf16      acc None  nll 0.941  gen 0 (85s)
  steps=2 w8t       acc None  nll 0.968  fid 0.9656  gen 0 (102s)
  steps=2 w8c       acc None  nll 0.945  fid 0.9987  gen 0 (103s)
  steps=2 w8a       acc None  nll 0.943  fid 0.9988  gen 0 (102s)
  steps=2 w6c       acc None  nll 0.940  fid 0.9859  gen 0 (104s)
  steps=2 w6a       acc None  nll 0.945  fid 0.9887  gen 0 (103s)
  steps=2 w5c       acc None  nll 0.947  fid 0.9478  gen 0 (100s)
  steps=2 w5a       acc None  nll 0.921  fid 0.9540  gen 0 (102s)
  steps=2 w4t       acc None  nll 11.806  fid 0.0157  gen 0 (102s)
  steps=2 w4c       acc None  nll 1.004  fid 0.8067  gen 0 (99s)
  steps=2 w4a       acc None  nll 0.958  fid 0.8486  gen 0 (101s)
  steps=2 w4g128    acc None  nll 0.949  fid 0.8904  gen 0 (102s)
  steps=2 w4g32     acc None  nll 0.971  fid 0.9155  gen 0 (101s)
  steps=2 w3c       acc None  nll 6.342  fid 0.1594  gen 0 (102s)
  steps=2 w3a       acc None  nll 3.151  fid 0.3317  gen 0 (101s)
  steps=2 w3g32     acc None  nll 1.137  fid 0.7039  gen 0 (102s)
  steps=2 w2a       acc None  nll 11.963  fid 0.0065  gen 0 (100s)
  steps=3 bf16      acc None  nll 0.816  gen 0 (122s)
  steps=3 w8t       acc None  nll 0.839  fid 0.9688  gen 0 (140s)
  steps=3 w8c       acc None  nll 0.819  fid 0.9987  gen 0 (139s)
  steps=3 w8a       acc None  nll 0.819  fid 0.9986  gen 0 (139s)
